"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Yankees","16","7","32","242","0","255.0","10.69","3.39","0.78",".255","76.2 %","44.9 %","10.8 %","3.00","3.13","3.12","4.2"
"Royals","19","5","32","267","0","301.2","8.38","2.74","0.57",".243","81.7 %","47.2 %","7.0 %","2.18","2.97","3.41","4.0"
"Cardinals","19","19","44","341","0","320.0","8.21","3.35","0.59",".304","81.7 %","46.2 %","6.9 %","2.56","3.28","3.76","3.6"
"Marlins","8","12","16","229","0","240.2","9.80","3.14","0.52",".302","74.0 %","51.1 %","7.5 %","3.14","2.81","3.14","3.4"
"Dodgers","21","18","25","286","0","261.1","10.09","3.34","0.83",".308","72.5 %","39.8 %","8.6 %","3.68","3.21","3.51","3.3"
"Orioles","16","11","27","247","0","292.2","9.01","3.38","0.77",".288","76.6 %","46.7 %","9.1 %","3.14","3.39","3.59","3.1"
"Nationals","13","13","31","277","0","290.0","8.22","2.70","0.78",".308","75.1 %","45.4 %","9.4 %","3.48","3.38","3.54","2.8"
"Brewers","15","8","22","285","0","288.2","9.23","3.12","0.75",".297","75.4 %","48.6 %","10.3 %","3.12","3.21","3.26","2.7"
"Indians","8","9","24","260","0","236.1","9.56","3.39","0.72",".306","73.4 %","46.3 %","9.1 %","2.93","3.22","3.40","2.7"
"Blue Jays","11","16","16","248","0","263.0","9.03","2.50","0.89",".274","76.1 %","45.2 %","10.9 %","3.08","3.32","3.30","2.5"
"Angels","15","8","26","271","0","255.0","8.08","2.72","0.67",".284","73.9 %","40.5 %","6.8 %","3.35","3.29","3.86","2.5"
"Phillies","14","12","18","289","0","303.2","9.07","3.85","0.65",".323","75.4 %","50.3 %","8.4 %","3.38","3.41","3.68","2.3"
"Astros","17","13","27","251","0","265.0","8.59","2.48","0.88",".230","80.1 %","48.1 %","10.9 %","2.62","3.37","3.35","2.2"
"Mets","11","10","31","278","0","269.0","8.20","3.58","0.64",".273","77.8 %","48.2 %","8.3 %","2.91","3.41","3.68","2.2"
"Cubs","21","17","24","293","0","266.1","8.52","3.65","0.74",".278","78.4 %","42.7 %","8.6 %","3.08","3.53","3.80","2.0"
"Reds","15","18","21","274","0","282.1","7.87","3.98","0.70",".286","70.8 %","44.4 %","7.9 %","3.92","3.75","4.11","1.8"
"Braves","11","14","33","264","0","245.1","8.00","3.82","0.66",".305","77.0 %","44.8 %","7.7 %","3.30","3.55","3.93","1.8"
"Rockies","15","15","23","316","0","320.0","7.93","3.26","0.84",".316","70.7 %","48.1 %","9.8 %","4.33","3.70","3.81","1.7"
"White Sox","16","15","23","217","0","235.0","8.73","3.49","0.88",".303","76.5 %","55.0 %","13.6 %","3.37","3.68","3.42","1.7"
"Padres","17","15","29","296","0","301.0","8.25","3.11","0.87",".287","71.9 %","42.9 %","9.7 %","3.74","3.59","3.72","1.5"
"Pirates","14","10","33","266","0","275.0","7.76","2.52","0.79",".280","80.7 %","50.0 %","10.3 %","2.59","3.51","3.56","1.5"
"Giants","9","10","27","280","0","256.2","7.57","2.66","0.84",".283","77.1 %","44.1 %","9.2 %","3.12","3.55","3.76","1.0"
"Mariners","8","19","27","272","0","288.0","8.50","3.28","0.94",".303","75.9 %","45.6 %","11.1 %","3.66","3.75","3.70","0.9"
"Diamondbacks","15","20","24","300","0","309.2","7.44","3.66","0.81",".290","74.8 %","48.7 %","9.7 %","3.57","3.87","4.01","0.9"
"Tigers","13","13","29","253","0","263.0","7.43","3.35","0.86",".301","75.7 %","43.4 %","9.1 %","3.76","3.90","4.13","0.6"
"Rays","15","20","38","287","0","287.0","8.47","3.32","1.10",".280","76.7 %","42.5 %","11.6 %","3.64","3.99","3.87","0.6"
"Twins","13","15","31","278","0","269.1","6.18","2.61","0.97",".279","72.4 %","42.0 %","9.0 %","3.78","4.04","4.30","0.6"
"Red Sox","11","13","23","265","0","300.1","7.70","2.88","1.29",".292","75.6 %","40.2 %","12.3 %","3.81","4.28","4.05","0.1"
"Athletics","13","22","19","303","0","310.1","8.85","3.13","1.25",".292","72.5 %","42.0 %","12.5 %","4.21","4.06","3.81","-0.2"
"Rangers","14","10","19","253","0","257.2","8.00","3.56","1.22",".283","75.6 %","43.6 %","13.1 %","4.19","4.37","4.05","-0.4"
