"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Giants","1191","3555","78","414","387","41","7.1 %","18.4 %",".139",".323",".276",".332",".415",".326","112","0.2","50.3","31.4","20.7"
"Dodgers","1189","3716","124","417","399","18","9.3 %","19.9 %",".173",".290",".253",".329",".426",".330","112","-15.1","36.5","25.0","19.1"
"Blue Jays","1101","3703","128","514","501","54","8.7 %","18.6 %",".179",".293",".263",".330",".442",".336","113","7.9","60.4","-9.5","18.6"
"Royals","1008","3597","76","418","394","60","5.8 %","15.5 %",".135",".306",".273",".323",".408",".319","103","5.5","16.2","35.1","18.2"
"Tigers","1070","3717","98","436","418","58","7.6 %","20.1 %",".156",".329",".278",".335",".434",".333","112","-12.6","37.6","0.8","17.2"
"Orioles","913","3079","114","372","371","24","7.0 %","22.4 %",".179",".300",".257",".313",".436",".325","106","-3.7","15.7","17.7","14.5"
"Cardinals","1292","3709","78","391","375","48","8.1 %","20.2 %",".134",".307",".256",".323",".390",".311","98","-0.3","-9.8","28.9","14.4"
"Astros","1113","3670","136","436","411","74","8.2 %","24.1 %",".181",".288",".243",".310",".424",".319","104","10.3","27.8","-16.8","14.1"
"Reds","1073","3623","106","375","359","91","8.0 %","18.9 %",".152",".288",".253",".316",".404",".314","97","8.8","-4.3","19.4","13.7"
"Yankees","1051","3647","127","436","418","40","8.3 %","18.5 %",".174",".284",".256",".323",".430",".328","108","1.0","31.4","-25.0","13.5"
"Diamondbacks","1211","3609","75","401","374","89","8.0 %","21.0 %",".133",".314",".259",".321",".392",".311","92","12.5","-19.5","29.9","13.2"
"Pirates","1263","3977","86","414","408","68","6.6 %","20.6 %",".134",".307",".256",".315",".389",".307","95","3.9","-17.7","15.8","13.0"
"Angels","1138","3694","111","411","399","26","7.5 %","19.1 %",".149",".286",".251",".313",".401",".311","103","-3.8","8.0","-8.4","13.0"
"Mets","1190","3979","95","385","381","40","7.3 %","20.7 %",".128",".288",".242",".305",".371",".297","91","-2.4","-43.9","38.9","12.7"
"Nationals","1102","3600","95","409","384","37","8.2 %","21.3 %",".144",".301",".252",".318",".397",".312","96","0.4","-15.2","10.6","11.5"
"Indians","1060","3571","72","367","350","44","9.2 %","18.3 %",".133",".289",".249",".321",".382",".308","99","9.8","4.9","-16.4","11.3"
"Cubs","1106","3628","81","359","340","69","9.0 %","24.2 %",".131",".300",".238",".315",".369",".301","87","6.3","-47.0","37.8","11.1"
"Rays","1133","3622","83","347","327","65","7.2 %","21.6 %",".138",".289",".240",".303",".378",".299","95","-7.8","-30.0","14.7","11.1"
"Marlins","1205","3680","77","357","340","68","6.3 %","20.5 %",".123",".309",".258",".308",".381",".301","89","0.1","-47.9","32.6","10.6"
"Rockies","1169","3539","104","419","405","51","6.5 %","20.6 %",".162",".319",".271",".322",".434",".327","91","0.9","-36.7","21.0","10.1"
"Rangers","952","3462","94","388","370","55","7.3 %","20.0 %",".155",".298",".255",".316",".410",".316","96","-0.1","-15.6","-4.2","10.0"
"Athletics","1113","3800","82","425","400","57","7.7 %","17.4 %",".135",".290",".254",".314",".389",".308","98","6.4","-1.9","-30.4","9.8"
"Mariners","1037","3565","111","356","338","38","7.4 %","21.1 %",".160",".282",".243",".302",".402",".307","98","-10.0","-20.0","-11.1","9.1"
"Red Sox","1014","3660","89","395","373","42","7.9 %","17.5 %",".140",".291",".255",".318",".395",".312","95","2.5","-16.8","-18.6","9.0"
"Twins","1050","3467","85","401","384","48","6.8 %","19.9 %",".148",".295",".252",".306",".400",".307","94","-4.6","-27.0","-3.9","8.8"
"Braves","905","3016","41","309","280","38","7.8 %","18.5 %",".105",".302",".252",".316",".356",".296","86","1.1","-47.9","15.4","6.5"
"Brewers","1061","3254","76","362","321","45","6.6 %","20.9 %",".141",".303",".253",".308",".394",".306","90","-2.8","-40.9","-0.5","6.3"
"Padres","1124","3628","83","374","355","59","7.0 %","22.5 %",".133",".289",".237",".294",".370",".291","88","4.2","-47.2","-11.7","5.7"
"Phillies","1122","3539","65","339","318","58","6.1 %","19.2 %",".123",".295",".249",".300",".372",".295","85","-4.0","-64.0","-12.3","3.5"
"White Sox","1003","3328","69","324","304","33","6.1 %","20.7 %",".118",".292",".244",".298",".362",".291","80","-16.1","-88.9","-31.4","-1.4"
