"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Dallas Keuchel","Astros","12","4","0","20","20","144.1","7.92","2.12","0.44",".254","80.7 %","64.0 %","12.1 %","2.12","2.64","2.57","3.9","9434"
"Zack Greinke","Dodgers","9","2","0","19","19","131.1","8.02","1.44","0.48",".232","89.9 %","48.1 %","6.1 %","1.30","2.52","3.05","3.7","1943"
"Jacob deGrom","Mets","10","6","0","18","18","119.2","9.03","1.58","0.68",".251","79.1 %","42.7 %","8.0 %","2.18","2.61","2.95","3.2","10954"
"Gerrit Cole","Pirates","13","4","0","19","19","124.2","8.81","2.02","0.51",".301","78.1 %","52.5 %","7.9 %","2.31","2.68","2.94","3.0","13125"
"Jason Hammel","Cubs","5","4","0","18","18","108.2","9.03","1.74","0.91",".257","72.9 %","37.8 %","9.6 %","2.82","3.06","3.22","2.3","4538"
"Michael Wacha","Cardinals","11","3","0","18","18","112.1","7.53","2.08","0.72",".271","74.3 %","47.9 %","8.8 %","3.20","3.21","3.43","2.1","14078"
"Nathan Eovaldi","Yankees","9","2","0","19","19","103.2","6.51","2.52","0.69",".350","72.9 %","50.9 %","8.8 %","4.43","3.52","3.74","1.8","9132"
"Mark Buehrle","Blue Jays","11","5","0","19","19","128.1","4.49","1.40","0.84",".276","74.5 %","49.2 %","9.2 %","3.23","3.80","4.00","1.7","225"
"Danny Salazar","Indians","8","5","0","17","17","104.2","10.66","2.49","1.20",".292","70.9 %","45.1 %","14.6 %","3.78","3.44","2.98","1.7","5867"
"Wei-Yin Chen","Orioles","4","6","0","18","18","116.1","7.19","1.93","1.32",".265","82.4 %","40.1 %","12.2 %","2.86","4.09","3.85","1.4","13071"
"Mat Latos","Marlins","4","6","0","15","15","82.1","8.09","2.73","0.77",".299","65.1 %","43.2 %","8.9 %","4.48","3.32","3.55","1.3","3815"
"Kyle Gibson","Twins","8","7","0","19","19","118.2","6.37","2.81","0.83",".284","77.8 %","54.6 %","13.3 %","3.19","3.89","3.66","1.3","10123"
"Joe Ross","Nationals","2","2","0","4","4","26.2","9.11","0.68","0.00",".307","65.4 %","54.8 %","0.0 %","2.70","1.38","2.47","1.2","12972"
"Yordano Ventura","Royals","4","7","0","14","14","76.1","7.66","2.95","0.83",".321","64.8 %","52.0 %","10.8 %","5.19","3.69","3.69","1.0","11855"
"Jeremy Hellickson","Diamondbacks","6","6","0","18","18","101.2","7.61","2.39","1.24",".303","69.6 %","42.7 %","12.0 %","4.87","3.99","3.80","1.0","4371"
"Taijuan Walker","Mariners","7","7","0","19","19","106.2","8.77","2.28","1.52",".308","67.6 %","37.5 %","14.0 %","5.06","4.26","3.76","0.8","11836"
"Andrew Heaney","Angels","4","0","0","5","5","34.1","7.08","1.05","0.79",".223","92.4 %","38.1 %","8.1 %","1.57","2.98","3.34","0.7","15423"
"Carlos Rodon","White Sox","3","3","0","12","12","64.0","9.84","5.63","0.70",".347","71.0 %","48.0 %","11.9 %","4.64","3.91","3.81","0.7","16137"
"Eduardo Rodriguez","Red Sox","5","3","0","10","10","54.1","7.62","3.15","1.16",".281","70.3 %","39.9 %","12.3 %","4.64","4.20","3.99","0.5","13164"
"Nick Martinez","Rangers","5","5","0","17","17","101.0","5.26","3.21","0.98",".291","73.8 %","43.9 %","9.7 %","3.92","4.77","4.91","0.4","12730"
"Matthew Wisler","Braves","4","1","0","6","6","35.0","5.91","2.31","1.03",".297","74.9 %","32.4 %","8.3 %","3.60","4.09","4.52","0.3","12804"
"Kendall Graveman","Athletics","6","6","0","15","15","88.0","5.62","3.07","1.12",".291","78.7 %","49.0 %","13.4 %","3.78","4.60","4.27","0.2","15514"
"Matt Garza","Brewers","4","10","0","17","17","100.0","6.39","2.97","1.53",".326","66.1 %","45.2 %","15.7 %","5.49","4.87","4.17","0.2","3340"
"Aaron Nola","Phillies","0","1","0","1","1","6.0","9.00","1.50","1.50",".250","100.0 %","52.9 %","20.0 %","1.50","3.73","2.73","0.1","16149"
"Odrisamer Despaigne","Padres","3","7","0","14","14","80.2","5.02","1.90","1.23",".293","67.3 %","48.9 %","14.1 %","5.13","4.58","4.15","0.1","16017"
"Shane Greene","Tigers","4","7","0","15","15","77.1","5.47","2.79","1.40",".310","58.7 %","42.7 %","13.8 %","6.52","5.03","4.58","0.0","10756"
"Matt Moore","Rays","1","1","0","4","4","18.2","5.30","4.82","0.96",".365","64.3 %","32.8 %","7.1 %","7.23","5.21","5.91","0.0","1890"
"Tim Hudson","Giants","5","8","0","16","16","96.1","4.86","2.43","1.21",".307","73.3 %","57.7 %","19.1 %","4.76","4.70","3.93","-0.2","921"
"Michael Lorenzen","Reds","3","4","0","13","13","73.1","6.38","4.91","1.47",".269","85.1 %","42.5 %","16.9 %","3.56","5.53","4.76","-0.5","14843"
"Kyle Kendrick","Rockies","3","11","0","19","19","107.1","4.70","2.60","2.01",".297","69.2 %","38.8 %","16.9 %","6.12","5.99","4.93","-0.8","6230"
